Preco_Seguro,Modelo,Ano,Categoria,Volume_Motor,Quilometragem,Cilindros,Cor,Airbag
7840,FIT,2002,HATCHBACK,13,178000,4.0,BRANCO,2
10349,FIT,2005,HATCHBACK,13,156000,4.0,PRATA,4
21285,FIT,2017,HATCHBACK,13,68415,4.0,PRETO,4
8938,FIT,2011,HATCHBACK,13,121000,4.0,BRANCO,0
9408,FIT,2007,HATCHBACK,15,180000,4.0,AZUL,4
24239,FIT,2013,HATCHBACK,15,20100,4.0,AZUL,4
5209,FIT,2013,HATCHBACK,13,69219,4.0,PRATA,4
13172,FIT,2010,SEDAN,18,368000,4.0,CINZA,12
5200,FIT,2011,HATCHBACK,13,144000,4.0,BRANCO,4
27435,FIT,2014,HATCHBACK,15,109000,4.0,BRANCO,4
35839,FIT,2016,HATCHBACK,15,9756,4.0,AZUL,4
3000,FIT,2004,HATCHBACK,13,11111,2.0,BRANCO,6
5645,FIT,2002,SEDAN,13,260000,4.0,VERMELHO,0
17694,FIT,2017,HATCHBACK,13,69968,4.0,AZUL,4
8781,FIT,2011,HATCHBACK,13,111000,4.0,VERDE,4
15925,FIT,2013,HATCHBACK,13,86996,4.0,PRATA,4
6899,FIT,2004,SEDAN,13,98000,4.0,PRATA,4
7213,FIT,2005,SEDAN,13,176000,4.0,PRETO,8
12231,FIT,2010,HATCHBACK,13,93000,4.0,AZUL,2
8311,FIT,2006,HATCHBACK,13,163000,4.0,PRATA,2
8781,FIT,2007,HATCHBACK,13,188000,4.0,PRATA,7
10976,FIT,2012,SEDAN,13,114000,4.0,BRANCO,4
7300,FIT,2012,HATCHBACK,13,100000,4.0,BRANCO,4
10976,FIT,2008,HATCHBACK,15,278000,4.0,AZUL,0
8590,FIT,2013,HATCHBACK,15,122471,4.0,AZUL,4
16292,FIT,2014,UNIVERSAL,13,30425,4.0,AZUL,4
9000,FIT,2012,UNIVERSAL,13,98000,4.0,CINZA,2
6272,FIT,2002,HATCHBACK,13,115500,4.0,AZUL,2
34102,FIT,2015,HATCHBACK,15,65000,4.0,BRANCO,4
17509,FIT,2014,UNIVERSAL,15,82105,4.0,PRATA,4
7828,FIT,2015,UNIVERSAL,15,154691,4.0,PRATA,4
12500,FIT,2019,HATCHBACK,13,6000,4.0,PRETO,2
7840,FIT,2004,HATCHBACK,13,175000,4.0,PRATA,0
12544,FIT,2010,HATCHBACK,13,0,4.0,PRETO,4
13946,FIT,2014,HATCHBACK,15,138000,4.0,PRATA,4
20000,FIT,2019,HATCHBACK,13,3800,4.0,PRETO,4
10663,FIT,2014,HATCHBACK,15,106000,4.0,BRANCO,0
9095,FIT,2013,HATCHBACK,15,41000,4.0,AZUL,6
15367,FIT,2010,HATCHBACK,15,110000,4.0,CINZA,12
23659,FIT,2017,HATCHBACK,15,42642,4.0,PRATA,4
8154,FIT,2004,HATCHBACK,13,229000,4.0,AZUL,2
12858,FIT,2012,SEDAN,13,147000,4.0,PRATA,6
28078,FIT,2014,HATCHBACK,13,27083,4.0,PRETO,4
11447,FIT,2014,HATCHBACK,15,80000,4.0,CINZA,4
10976,FIT,2008,SEDAN,15,156000,4.0,BRANCO,3
9408,FIT,2007,HATCHBACK,13,129000,4.0,PRETO,6
10349,FIT,2011,SEDAN,15,0,4.0,PRETO,2
17249,FIT,2016,HATCHBACK,15,56000,4.0,BRANCO,8
8154,FIT,2006,HATCHBACK,13,191000,2.0,PRETO,2
13485,FIT,2011,HATCHBACK,15,152000,4.0,PRETO,6
13172,FIT,2010,HATCHBACK,15,180800,4.0,CINZA,8
14269,FIT,2011,HATCHBACK,15,80000,4.0,BRANCO,8
21953,FIT,2016,HATCHBACK,15,50400,4.0,AMARELO,12
7213,FIT,2003,SEDAN,15,240000,2.0,AZUL,4
26720,FIT,2019,HATCHBACK,15,2336,4.0,PRETO,4
12544,FIT,2012,HATCHBACK,13,81000,4.0,PRATA,8
30602,FIT,2016,UNIVERSAL,13,16714,4.0,PRETO,4
6272,FIT,2002,HATCHBACK,13,161000,4.0,VERMELHO,4
16960,FIT,2015,HATCHBACK,15,131455,4.0,AZUL,4
16750,FIT,2017,HATCHBACK,15,110050,4.0,BRANCO,4
10976,FIT,2014,HATCHBACK,15,114000,4.0,PRATA,12
7213,FIT,2005,HATCHBACK,13,121757,4.0,AZUL CLARO,2
8154,FIT,2011,SEDAN,13,185000,4.0,PRETO,2
7997,FIT,2005,HATCHBACK,13,172000,4.0,PRETO,4
11917,FIT,2011,HATCHBACK,13,115000,4.0,PRATA,4
8624,FIT,2006,HATCHBACK,13,111111,4.0,PRETO,0
6586,FIT,2004,HATCHBACK,13,245000,4.0,PRATA,2
7840,FIT,2012,HATCHBACK,13,108000,4.0,AZUL,6
28015,FIT,2017,HATCHBACK,13,85000,4.0,PRETO,4
1568,FIT,2013,HATCHBACK,15,118232,4.0,PRATA,12
7700,FIT,2012,HATCHBACK,13,81000,4.0,BRANCO,4
7213,FIT,2012,HATCHBACK,13,135000,4.0,PRATA,2
22291,FIT,2018,HATCHBACK,13,5987,4.0,PRATA,4
22502,FIT,2014,HATCHBACK,15,111400,4.0,PRATA,4
9095,FIT,2005,SEDAN,13,20000,4.0,BRANCO,4
14113,FIT,2013,SEDAN,13,113000,4.0,BRANCO,4
13172,FIT,2011,HATCHBACK,13,128000,4.0,PRETO,6
37238,FIT,2015,HATCHBACK,15,37606,4.0,PRETO,4
8500,FIT,2011,HATCHBACK,13,116048,4.0,AZUL,4
8154,FIT,2012,HATCHBACK,13,99000,4.0,PRATA,4
5134,FIT,2013,HATCHBACK,13,151715,4.0,AZUL,4
7527,FIT,2005,SEDAN,13,239825,4.0,PRATA,2
10036,FIT,2009,HATCHBACK,13,185000,4.0,AZUL,2
12544,FIT,2010,HATCHBACK,13,127000,4.0,PRETO,0
8467,FIT,2011,HATCHBACK,13,118000,4.0,BRANCO,4
28592,FIT,2014,HATCHBACK,15,119130,4.0,PRETO,4
11290,FIT,2013,HATCHBACK,13,180000,4.0,PRATA,2
6272,FIT,2012,HATCHBACK,15,141302,4.0,AZUL CLARO,2
21683,FIT,2018,HATCHBACK,13,10970,4.0,PRATA,4
13310,FIT,2015,HATCHBACK,13,101920,4.0,PRATA,4
8154,FIT,2007,HATCHBACK,13,190000,4.0,CINZA,4
8467,FIT,2005,HATCHBACK,13,178000,4.0,PRATA,4
11917,FIT,2013,HATCHBACK,13,130000,4.0,BRANCO,4
9095,FIT,2008,SEDAN,13,180000,4.0,PRETO,7
30906,FIT,2014,HATCHBACK,15,52800,4.0,LARANJA,4
5300,FIT,2013,HATCHBACK,13,97536,4.0,BRANCO,4
38182,FIT,2015,HATCHBACK,15,60539,4.0,PRETO,4
13397,FIT,2013,HATCHBACK,13,131200,4.0,PRETO,4
23659,FIT,2017,HATCHBACK,13,49000,4.0,PRETO,4
7840,FIT,2012,HATCHBACK,13,108000,4.0,AZUL,6
10569,FIT,2014,HATCHBACK,15,97512,4.0,AZUL,4
7527,FIT,2012,HATCHBACK,13,62000,4.0,BRANCO,6
1900,FIT,2003,HATCHBACK,13,161000,4.0,BRANCO,2
17249,FIT,2012,HATCHBACK,15,125000,4.0,PRETO,4
7683,FIT,2003,HATCHBACK,13,186000,4.0,PRATA,5
7370,FIT,2004,HATCHBACK,13,136000,4.0,AZUL CLARO,5
9408,FIT,2006,HATCHBACK,15,140000,4.0,PRETO,4
25387,FIT,2015,HATCHBACK,15,87573,4.0,PRETO,4
9095,FIT,2005,SEDAN,15,148000,4.0,VERDE,2
6115,FIT,2011,HATCHBACK,13,158000,4.0,BRANCO,8
12074,FIT,2008,HATCHBACK,15,200000,4.0,LARANJA,8
7840,FIT,2003,HATCHBACK,13,157000,4.0,VERMELHO,2
7840,FIT,2005,SEDAN,13,230000,4.0,BRANCO,6
6586,FIT,2011,HATCHBACK,13,118000,4.0,PRETO,2
5500,FIT,2011,HATCHBACK,13,50000,4.0,PRATA,4
11133,FIT,2012,SEDAN,15,90000,4.0,BRANCO,2
6899,FIT,2012,HATCHBACK,13,146000,4.0,BRANCO,2
60502,FIT,2018,HATCHBACK,15,8000,4.0,PRETO,4
10349,FIT,2014,HATCHBACK,15,136000,4.0,PRATA,6
14831,FIT,2016,HATCHBACK,13,109839,4.0,AZUL,4
45872,FIT,2016,HATCHBACK,15,35934,4.0,PRETO,4
5802,FIT,2003,SEDAN,13,0,4.0,PRETO,6
8154,FIT,2012,HATCHBACK,13,67000,4.0,BRANCO,2
10663,FIT,2008,HATCHBACK,13,155000,4.0,PRETO,4
6899,FIT,2004,SEDAN,13,160000,4.0,PRATA,2
7279,FIT,2015,UNIVERSAL,13,138520,4.0,PRATA,4
32945,FIT,2013,HATCHBACK,13,17150,4.0,BRANCO,4
17249,FIT,2012,HATCHBACK,15,160000,4.0,BRANCO,0
16107,FIT,2014,HATCHBACK,13,35479,4.0,AZUL,4
7527,FIT,2004,HATCHBACK,13,150000,4.0,PRATA,4
17023,FIT,2014,HATCHBACK,15,52350,4.0,PRATA,4
12758,FIT,2015,HATCHBACK,15,161414,4.0,PRATA,4
11917,FIT,2010,HATCHBACK,15,129000,4.0,AZUL,0
31211,FIT,2018,UNIVERSAL,15,57809,4.0,PRETO,4
24775,FIT,2017,HATCHBACK,15,25000,4.0,ROXO,12
7527,FIT,2004,HATCHBACK,13,150000,4.0,PRATA,4
5802,FIT,2011,HATCHBACK,13,95000,4.0,AZUL,8
12231,FIT,2012,HATCHBACK,13,126000,4.0,PRATA,5
10450,FIT,2012,HATCHBACK,13,311000,2.0,BRANCO,6
11604,FIT,2013,SEDAN,15,47000,4.0,AZUL,12
8467,FIT,2012,HATCHBACK,15,33000,4.0,PRETO,10
39189,FIT,2018,HATCHBACK,15,6213,4.0,AZUL,4
11917,FIT,2010,HATCHBACK,15,206400,4.0,CINZA,6
15367,FIT,2011,HATCHBACK,15,120000,4.0,CINZA,6
13203,FIT,2015,HATCHBACK,13,137533,4.0,PRATA,4
7213,FIT,2010,HATCHBACK,13,9200,4.0,AZUL,2
17813,FIT,2013,UNIVERSAL,13,68614,4.0,PRETO,4
7840,FIT,2005,HATCHBACK,13,160250,4.0,PRETO,5
23082,FIT,2013,HATCHBACK,15,87000,4.0,BRANCO,4
7213,FIT,2003,HATCHBACK,15,240000,4.0,AZUL,0
11917,FIT,2012,HATCHBACK,13,13000,4.0,MARROM,2
24512,FIT,2015,HATCHBACK,15,111649,4.0,PRETO,4
10663,FIT,2014,SEDAN,15,115000,4.0,PRATA,2
16719,FIT,2013,HATCHBACK,15,154400,4.0,PRATA,4
12544,FIT,2011,HATCHBACK,13,140000,4.0,BRANCO,4
21953,FIT,2014,SEDAN,15,78400,4.0,AZUL,6
8624,FIT,2005,HATCHBACK,15,190000,4.0,PRATA,2
8467,FIT,2001,HATCHBACK,13,150346,6.0,PRATA,4
22900,FIT,2018,HATCHBACK,13,2635,4.0,PRATA,4
8154,FIT,2010,SEDAN,13,0,4.0,PRATA,2
13172,FIT,2014,HATCHBACK,15,60000,4.0,BRANCO,4
7840,FIT,2011,HATCHBACK,13,112000,4.0,PRETO,8
39615,FIT,2017,HATCHBACK,15,49000,4.0,BRANCO,4
17327,FIT,2014,UNIVERSAL,15,121000,4.0,PRETO,4
15486,FIT,2016,HATCHBACK,13,66890,4.0,PRATA,4
6743,FIT,2003,HATCHBACK,13,134000,2.0,AMARELO,6
9408,FIT,2014,HATCHBACK,13,139000,4.0,PRATA,2
11290,FIT,2014,HATCHBACK,15,60000,4.0,PRATA,4
18817,FIT,2016,HATCHBACK,15,49600,4.0,BRANCO,6
11726,FIT,2015,HATCHBACK,15,102528,4.0,PRETO,4
22473,FIT,2013,HATCHBACK,15,55000,4.0,DOURADO,4
12544,FIT,2011,SEDAN,13,120521,4.0,PRETO,6
28288,FIT,2014,HATCHBACK,13,36261,4.0,PRETO,4
7840,FIT,2012,HATCHBACK,13,59000,4.0,PRETO,4
34560,FIT,2016,UNIVERSAL,15,23779,4.0,AMARELO,4
12231,FIT,2011,HATCHBACK,13,119000,4.0,PRATA,4
7840,FIT,2005,HATCHBACK,13,123456,4.0,CINZA,6
12544,FIT,2012,COUPE,13,140000,4.0,PRATA,10
12544,FIT,2011,HATCHBACK,13,123000,4.0,AZUL,4
7840,FIT,2003,HATCHBACK,15,209000,4.0,BRANCO,2
12388,FIT,2013,HATCHBACK,13,182300,4.0,PRATA,6
11290,FIT,2011,HATCHBACK,13,120000,4.0,VERMELHO,10
25387,FIT,2015,HATCHBACK,15,73225,4.0,PRATA,4
10976,FIT,2013,HATCHBACK,15,109000,4.0,AZUL,8
9408,FIT,2006,HATCHBACK,15,150000,4.0,PRATA,2
22502,FIT,2013,HATCHBACK,13,107300,4.0,BRANCO,4
26949,FIT,2015,UNIVERSAL,13,50927,4.0,AZUL,4
21316,FIT,2020,HATCHBACK,15,15601,4.0,LARANJA,4
16264,FIT,2016,HATCHBACK,13,57400,4.0,PRATA,4
36721,FIT,2017,HATCHBACK,15,30430,4.0,BRANCO,4
10722,FIT,2014,HATCHBACK,15,81917,4.0,PRATA,4
7840,FIT,2005,HATCHBACK,13,126000,4.0,PRATA,4
9408,FIT,2005,SEDAN,13,170000,4.0,PRATA,4
16399,FIT,2017,HATCHBACK,13,79363,4.0,PRETO,4
7370,FIT,2001,HATCHBACK,13,95000,4.0,PRATA,4
13172,FIT,2014,HATCHBACK,15,100000,4.0,BRANCO,7
23204,FIT,2014,HATCHBACK,15,63300,4.0,PRATA,4
11290,FIT,2010,SEDAN,13,155000,4.0,PRETO,4
18045,FIT,2017,HATCHBACK,13,37074,4.0,PRATA,4
7683,FIT,2003,HATCHBACK,13,180000,4.0,AZUL,4
7527,FIT,2011,HATCHBACK,13,112254,4.0,VERMELHO,4
19030,FIT,2014,UNIVERSAL,13,39373,4.0,PRATA,4
13702,FIT,2014,HATCHBACK,13,102082,4.0,BRANCO,4
5488,FIT,2001,HATCHBACK,19,147000,4.0,PRETO,4
33798,FIT,2017,HATCHBACK,15,75000,4.0,PRETO,4
6272,FIT,2001,HATCHBACK,13,169300,4.0,AZUL CLARO,2
16308,FIT,2013,HATCHBACK,15,110325,4.0,CINZA,12
14768,FIT,2013,UNIVERSAL,15,80699,4.0,PRATA,4
27193,FIT,2014,HATCHBACK,13,50000,4.0,PRETO,4
9722,FIT,2006,HATCHBACK,13,202000,4.0,PRETO,2
7840,FIT,2012,HATCHBACK,13,117000,4.0,ROSA,4
8781,FIT,2005,SEDAN,15,1000,4.0,PRATA,4
19930,FIT,2017,HATCHBACK,13,14665,4.0,PRETO,4
13485,FIT,2011,HATCHBACK,13,97000,4.0,VERDE,6
17264,FIT,2013,HATCHBACK,13,52320,4.0,PRATA,4
25638,FIT,2014,HATCHBACK,15,78000,4.0,BRANCO,4
12231,FIT,2012,SEDAN,15,126400,4.0,PRATA,5
7213,FIT,2006,SEDAN,13,280900,4.0,PRETO,2
15988,FIT,2013,HATCHBACK,13,88830,4.0,PRETO,4
8154,FIT,2012,UNIVERSAL,13,116000,4.0,BRANCO,2
12027,FIT,2013,HATCHBACK,15,113000,4.0,BRANCO,4
12548,FIT,2015,HATCHBACK,15,98937,4.0,BRANCO,4
10036,FIT,2013,HATCHBACK,13,101000,4.0,PRATA,4
9408,FIT,2011,HATCHBACK,15,39333,4.0,PRATA,8
12858,FIT,2013,HATCHBACK,13,145000,4.0,BRANCO,4
11604,FIT,2012,HATCHBACK,15,76000,4.0,BRANCO,4
2352,FIT,2012,SEDAN,15,167158,4.0,CINZA,0
20341,FIT,2013,HATCHBACK,15,92300,4.0,BRANCO,4
11290,FIT,2010,HATCHBACK,13,113581,4.0,BRANCO,4
2038,FIT,2012,SEDAN,15,167158,4.0,CINZA,0
20372,FIT,2017,HATCHBACK,13,100940,4.0,PRATA,4
7840,FIT,2006,HATCHBACK,13,157000,4.0,AZUL,2
7213,FIT,2004,HATCHBACK,13,198000,4.0,PRATA,2
12000,FIT,2010,HATCHBACK,13,155000,4.0,BRANCO,4
5645,FIT,2005,HATCHBACK,13,67000,4.0,AMARELO,4
59313,FIT,2017,HATCHBACK,15,31000,4.0,AZUL,4
26644,FIT,2015,UNIVERSAL,15,35624,4.0,PRETO,4
14950,FIT,2014,HATCHBACK,15,165000,4.0,AZUL,4
13065,FIT,2013,UNIVERSAL,13,39693,4.0,BRANCO,4
9095,FIT,2011,HATCHBACK,13,123000,4.0,VERDE,5
16935,FIT,2014,HATCHBACK,15,185000,4.0,CINZA,8
7213,FIT,2004,HATCHBACK,13,15200,4.0,PRATA,4
4936,FIT,2013,HATCHBACK,13,120417,4.0,PRATA,4
37301,FIT,2015,HATCHBACK,15,28792,4.0,PRETO,4
10036,FIT,2004,HATCHBACK,15,124234,4.0,PRATA,2
8154,FIT,2005,SEDAN,15,223000,4.0,CINZA,5
8154,FIT,2003,SEDAN,15,189000,4.0,PRATA,4
12544,FIT,2009,HATCHBACK,15,240000,4.0,VERMELHO,4
15367,FIT,2013,HATCHBACK,15,163000,4.0,AZUL CLARO,2
25243,FIT,2014,HATCHBACK,15,28300,4.0,PRATA,4
11133,FIT,2012,HATCHBACK,13,154000,4.0,PRATA,4
6586,FIT,2004,HATCHBACK,13,204950,4.0,PRATA,2
55845,FIT,2018,HATCHBACK,15,29939,4.0,PRATA,4
