Preco_Seguro,Fabricante,Modelo,Ano,Categoria,Interior_Couro,Tipo_Combustivel,Volume_Motor,Quilometragem,Cilindros,Tipo_Cambio,Tracao_Rodas,Portas,Rodas,Cor,Airbag
8154,HONDA,CR-V,1998,JEEP,NÃO,GASOLINA,2,0,4.0,AUTOMATICO,4x4,04,DIREITA,BRANCO,2
21953,TOYOTA,CAMRY,2012,SEDAN,NÃO,GASOLINA,25,195053,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,0
19121,HYUNDAI,ELANTRA,2012,SEDAN,SIM,GASOLINA,16,121362,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
36065,HYUNDAI,SANTA FE,2014,JEEP,SIM,DIESEL,2,69191,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
8781,HONDA,FIT,2012,HATCHBACK,SIM,HIBRIDO,13,83000,4.0,TIPTRONIC,FRENTE,04,DIREITA,VERDE,12
6247,CHEVROLET,CRUZE,2010,SEDAN,SIM,GASOLINA,18,40772,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
16289,CHEVROLET,ORLANDO,2012,JEEP,SIM,DIESEL,2,172000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,4
77775,MERCEDES-BENZ,GL 63 AMG,2014,JEEP,SIM,GASOLINA,55,433811,8.0,AUTOMATICO,4x4,04,ESQUERDA,PRETO,10
2822,BMW,520 VANOS,1995,SEDAN,SIM,GASOLINA,2,350000,6.0,MANUAL,TRASEIRA,04,ESQUERDA,AZUL,2
6981,DAEWOO,LACETTI,2008,SEDAN,SIM,GASOLINA,2,103246,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
27284,HYUNDAI,ELANTRA,2016,SEDAN,NÃO,GASOLINA,2,105394,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRETO,12
32929,BMW,428 SPORT LINE,2013,COUPE,SIM,GASOLINA,20,160000,4.0,AUTOMATICO,TRASEIRA,02,ESQUERDA,PRETO,12
18817,NISSAN,PATROL,1990,JEEP,NÃO,DIESEL,28,333333,4.0,MANUAL,TRASEIRA,04,ESQUERDA,PRETO,0
4234,HONDA,CIVIC,1997,HATCHBACK,SIM,GASOLINA,14,0,4.0,MANUAL,FRENTE,02,ESQUERDA,AZUL,6
15053,MERCEDES-BENZ,E 320,2004,SEDAN,SIM,GASOLINA,32,214000,6.0,TIPTRONIC,TRASEIRA,04,ESQUERDA,CINZA,8
15458,HYUNDAI,GENESIS,2009,COUPE,SIM,GASOLINA,2,123346,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
2901,CHEVROLET,CRUZE,2014,SEDAN,SIM,GASOLINA,14,80827,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,VERDE,12
15681,LEXUS,GX 460,2010,JEEP,SIM,GASOLINA,46,275240,8.0,AUTOMATICO,4x4,04,ESQUERDA,PRATA,0
26657,MERCEDES-BENZ,SPRINTER,2004,MICROBUS,NÃO,DIESEL,22,300000,4.0,MANUAL,TRASEIRA,04,ESQUERDA,BRANCO,1
10663,TOYOTA,PRIUS,2007,HATCHBACK,NÃO,GASOLINA,15,318400,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,6
12858,FORD,FOCUS SE,2015,SEDAN,NÃO,GASOLINA,2,91200,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AZUL CLARO,10
1019,BMW,X5,2013,JEEP,SIM,DIESEL,3,137802,6.0,AUTOMATICO,4x4,04,ESQUERDA,PRETO,12
12858,KIA,PICANTO,2016,HATCHBACK,NÃO,GASOLINA,12,107000,4.0,MANUAL,FRENTE,04,ESQUERDA,PRATA,2
15000,BMW,328,2008,SEDAN,SIM,CNG,3,210408,6.0,TIPTRONIC,TRASEIRA,04,ESQUERDA,BRANCO,12
85553,FORD,EXPLORER,2017,JEEP,SIM,GASOLINA,23,100567,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
44752,HYUNDAI,H1,2016,UNIVERSAL,SIM,DIESEL,25,86000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,4
17158,HYUNDAI,ELANTRA,2010,SEDAN,SIM,GASOLINA,16,122740,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
12231,MITSUBISHI,AIRTREK,2005,JEEP,NÃO,LPG,24,144000,4.0,TIPTRONIC,4x4,04,DIREITA,BRANCO,16
11917,MERCEDES-BENZ,E 500 AMG,2003,SEDAN,SIM,GASOLINA,5,150000,12.0,TIPTRONIC,TRASEIRA,04,DIREITA,BRANCO,12
1254,MITSUBISHI,LANCER,1997,SEDAN,NÃO,GASOLINA,13,100000,4.0,MANUAL,TRASEIRA,04,ESQUERDA,VERMELHO,0
25591,SSANGYONG,KORANDO,2013,JEEP,SIM,DIESEL,2,85704,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
14897,HYUNDAI,SANTA FE,2010,JEEP,SIM,DIESEL,2,58962,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
23521,TOYOTA,CAMRY,2013,SEDAN,SIM,HIBRIDO,25,90000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,BRANCO,12
3450,RENAULT,CLIO,1995,HATCHBACK,NÃO,GASOLINA,12,50000,3.0,MANUAL,FRENTE,02,ESQUERDA,VERDE,0
1019,TOYOTA,HIGHLANDER,2009,SEDAN,SIM,HIBRIDO,33,318358,6.0,AUTOMATICO,4x4,04,ESQUERDA,PRETO,12
16935,FORD,FUSION,2015,SEDAN,SIM,GASOLINA,2,71454,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,0
19444,TOYOTA,CAMRY,2012,SEDAN,SIM,GASOLINA,25,0,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRETO,6
11604,HYUNDAI,SONATA,2014,SEDAN,SIM,LPG,2,346470,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
51965,HYUNDAI,SANTA FE,2016,JEEP,SIM,DIESEL,2,59515,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AZUL,4
9408,MERCEDES-BENZ,C 220,1999,SEDAN,NÃO,DIESEL,22,111111,4.0,MANUAL,TRASEIRA,04,ESQUERDA,PRATA,4
13328,HYUNDAI,H1,2008,MINIVAN,SIM,DIESEL,25,74444,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AMARELO,4
17876,NISSAN,SERENA,2012,MINIVAN,NÃO,GASOLINA,2,143000,4.0,TIPTRONIC,FRENTE,04,DIREITA,BRANCO,12
20071,TOYOTA,RAV 4,2008,JEEP,NÃO,GASOLINA,24,135000,4.0,AUTOMATICO,4x4,04,ESQUERDA,PRATA,8
22894,HYUNDAI,H1,2011,MINIVAN,SIM,DIESEL,25,124444,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AMARELO,4
2901,HONDA,CIVIC,2012,SEDAN,SIM,HIBRIDO,15,146403,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,0
15681,MITSUBISHI,PAJERO,1997,JEEP,NÃO,GASOLINA,24,142000,4.0,AUTOMATICO,4x4,02,ESQUERDA,AZUL,6
39829,LEXUS,GX 460,2010,JEEP,SIM,GASOLINA,46,155821,8.0,AUTOMATICO,4x4,04,ESQUERDA,PRETO,0
18660,HYUNDAI,SONATA,2013,SEDAN,SIM,GASOLINA,24,130000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRETO,6
22580,MERCEDES-BENZ,E 300,2017,SEDAN,SIM,GASOLINA,2,50930,4.0,AUTOMATICO,TRASEIRA,04,ESQUERDA,PRETO,12
11604,HYUNDAI,SONATA,2014,SEDAN,SIM,LPG,2,264872,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
5488,GMC,TERRAIN,2013,JEEP,SIM,GASOLINA,24,138958,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,12
18817,TOYOTA,CAMRY,2018,SEDAN,SIM,HIBRIDO,25,35058,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,12
21169,HONDA,HR-V EX,2015,JEEP,NÃO,GASOLINA,18,33330,4.0,AUTOMATICO,4x4,04,ESQUERDA,CINZA,8
9095,FIAT,500,2011,COUPE,NÃO,GASOLINA,12,141000,4.0,AUTOMATICO,FRENTE,02,DIREITA,VERMELHO,4
1568,VOLKSWAGEN,JETTA,2014,SEDAN,SIM,DIESEL,2,82392,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,12
3136,SUBARU,LEGACY,2005,GOODS WAGON,NÃO,GASOLINA,20,180000,6.0,TIPTRONIC,4x4,04,DIREITA,AZUL,6
17876,HYUNDAI,ELANTRA SPORT LIMITED,2013,SEDAN,SIM,GASOLINA,18,117920,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,CINZA,12
11290,HYUNDAI,SONATA,2016,SEDAN,SIM,LPG,2,279787,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
36065,TOYOTA,SIENNA,2010,MINIVAN,SIM,GASOLINA,35,227200,6.0,TIPTRONIC,FRENTE,04,ESQUERDA,BRANCO,16
21395,HYUNDAI,H1,2012,UNIVERSAL,SIM,DIESEL,25,166144,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
15681,HYUNDAI,SONATA,2016,SEDAN,SIM,LPG,2,258706,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
40070,TOYOTA,AQUA,2016,HATCHBACK,SIM,GASOLINA,15,25807,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
11917,MERCEDES-BENZ,A 170,2008,HATCHBACK,NÃO,GASOLINA,17,180000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,DOURADO,8
72130,LEXUS,NX 300,2018,JEEP,SIM,GASOLINA,20,18918,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRETO,6
35927,SSANGYONG,REXTON,2013,JEEP,SIM,DIESEL,2,137267,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
21012,TOYOTA,PRIUS,2014,SEDAN,NÃO,HIBRIDO,18,160000,4.0,AUTOMATICO,4x4,04,ESQUERDA,BRANCO,4
21012,TOYOTA,TACOMA,2018,SEDAN,SIM,GASOLINA,35,27358,6.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,12
13172,KIA,CARNIVAL GRAND,2009,MINIVAN,SIM,DIESEL,29,84176,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,6
15624,HYUNDAI,GENESIS,2011,COUPE,SIM,GASOLINA,2,107005,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,4
4547,OPEL,VECTRA,1997,SEDAN,NÃO,GASOLINA,16,15000,4.0,MANUAL,FRENTE,04,ESQUERDA,BEGE,2
5488,INFINITI,QX60,2015,JEEP,SIM,GASOLINA,35,124154,6.0,AUTOMATICO,4x4,04,ESQUERDA,PRETO,12
20005,HYUNDAI,ELANTRA,2012,SEDAN,SIM,GASOLINA,16,104997,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
36110,VOLKSWAGEN,PASSAT,2017,SEDAN,SIM,GASOLINA,18,27728,6.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRATA,8
1300,AUDI,50,2018,COUPE,SIM,GASOLINA,05,4000,1.0,TIPTRONIC,TRASEIRA,5,DIREITA,AZUL,0
43880,HYUNDAI,SANTA FE,2016,JEEP,SIM,DIESEL,2,113700,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
29479,MERCEDES-BENZ,C 250,2014,SEDAN,SIM,GASOLINA,18,69000,4.0,TIPTRONIC,TRASEIRA,04,ESQUERDA,CINZA,8
17249,TOYOTA,CAMRY,2011,SEDAN,SIM,HIBRIDO,25,152000,4.0,VARIADO,FRENTE,04,ESQUERDA,BRANCO,12
9408,TOYOTA,VITZ FUNKARGO,2003,UNIVERSAL,NÃO,GASOLINA,15,181926,4.0,AUTOMATICO,4x4,04,DIREITA,PRATA,2
44213,HYUNDAI,SANTA FE,2016,JEEP,SIM,DIESEL,2,50255,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,VERMELHO,4
8467,BMW,325,2001,SEDAN,SIM,GASOLINA,25,252800,6.0,MANUAL,TRASEIRA,04,ESQUERDA,CINZA,6
21950,FORD,TRANSIT,2011,GOODS WAGON,NÃO,DIESEL,24,125000,4.0,MANUAL,4x4,04,ESQUERDA,BRANCO,2
3136,CHEVROLET,CRUZE,2014,SEDAN,SIM,GASOLINA,14,156992,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,12
3450,OPEL,VECTRA,1995,SEDAN,NÃO,CNG,2,0,4.0,MANUAL,FRENTE,04,ESQUERDA,BRANCO,2
9408,MITSUBISHI,PAJERO,1998,JEEP,NÃO,GASOLINA,35,11000,6.0,TIPTRONIC,4x4,04,DIREITA,PRATA,4
31500,NISSAN,PATHFINDER,2010,JEEP,SIM,LPG,4,90200,6.0,TIPTRONIC,4x4,04,ESQUERDA,PRETO,12
20385,MITSUBISHI,DELICA,2005,MINIVAN,SIM,GASOLINA,3,184000,6.0,AUTOMATICO,4x4,04,DIREITA,BRANCO,12
2300,VOLKSWAGEN,GOLF,1996,SEDAN,NÃO,CNG,2,0,4.0,MANUAL,FRENTE,04,ESQUERDA,VERDE,0
7840,MERCEDES-BENZ,VANEO,2004,UNIVERSAL,NÃO,LPG,19,170000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRATA,4
56450,TOYOTA,CAMRY SE,2018,SEDAN,SIM,GASOLINA,25,25000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,AZUL,12
1490,VOLKSWAGEN,JETTA,2014,UNIVERSAL,SIM,DIESEL,2,113214,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,12
13172,HONDA,CR-V,2002,JEEP,NÃO,GASOLINA,24,260000,4.0,AUTOMATICO,4x4,04,ESQUERDA,PRATA,6
19757,NISSAN,PATROL Y60,1990,JEEP,NÃO,DIESEL,28,222222,4.0,MANUAL,TRASEIRA,04,ESQUERDA,PRETO,0
4704,AUDI,A7,2013,HATCHBACK,SIM,GASOLINA,3,301707,6.0,AUTOMATICO,4x4,04,ESQUERDA,CINZA,0
5802,MERCEDES-BENZ,E 350,2013,SEDAN,SIM,DIESEL,35,107800,6.0,AUTOMATICO,TRASEIRA,04,ESQUERDA,CINZA,12
25716,TOYOTA,CAMRY,2014,SEDAN,NÃO,GASOLINA,25,115200,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,8
14426,CHEVROLET,ORLANDO,2012,JEEP,SIM,LPG,2,132036,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
10820,TOYOTA,RAV 4,2001,JEEP,NÃO,GASOLINA,2,91000,4.0,AUTOMATICO,4x4,02,DIREITA,PRATA,4
45436,FORD,EXPLORER,2011,JEEP,SIM,GASOLINA,35,129177,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
11917,HYUNDAI,I30,2008,HATCHBACK,NÃO,DIESEL,16,201000,4.0,MANUAL,FRENTE,04,ESQUERDA,PRETO,8
41281,HYUNDAI,SANTA FE,2015,JEEP,SIM,DIESEL,2,185811,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
4391,NISSAN,ALTIMA,1998,SEDAN,NÃO,GASOLINA,24,358400,4.0,MANUAL,FRENTE,04,ESQUERDA,MARROM,2
3058,PORSCHE,CAYENNE,2018,SEDAN,SIM,GASOLINA,36,28968,6.0,AUTOMATICO,4x4,04,ESQUERDA,BRANCO,12
3700,ALFA ROMEO,147,2001,COUPE,SIM,GASOLINA,18,240000,4.0,MANUAL,FRENTE,02,ESQUERDA,PRETO,4
15681,SUZUKI,GRAND VITARA,2008,JEEP,NÃO,GASOLINA,16,98000,4.0,AUTOMATICO,4x4,02,ESQUERDA,PRETO,12
6586,LEXUS,CT 200H,2011,HATCHBACK,SIM,HIBRIDO,18,122302,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,0
12544,TOYOTA,PRIUS,2007,HATCHBACK,NÃO,HIBRIDO,15,140000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BEGE,6
30063,HYUNDAI,TUCSON,2014,JEEP,SIM,DIESEL,2,120000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
72130,PORSCHE,PANAMERA,2010,HATCHBACK,SIM,GASOLINA,48,196800,8.0,TIPTRONIC,4x4,04,ESQUERDA,BRANCO,8
21639,HYUNDAI,VELOSTER,2015,HATCHBACK,NÃO,GASOLINA,16,17200,4.0,TIPTRONIC,FRENTE,02,ESQUERDA,VERMELHO,10
36692,TOYOTA,RAV 4 XLE SPORT,2013,JEEP,NÃO,GASOLINA,25,120000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,BRANCO,0
12231,TOYOTA,AQUA,2014,HATCHBACK,NÃO,HIBRIDO,15,66000,4.0,VARIADO,FRENTE,04,DIREITA,PRATA,4
3136,TOYOTA,SIENTA,2004,SEDAN,NÃO,GASOLINA,15,300000,4.0,VARIADO,FRENTE,04,DIREITA,BEGE,4
10663,TOYOTA,PRIUS,2009,SEDAN,SIM,HIBRIDO,18,230000,4.0,VARIADO,FRENTE,04,ESQUERDA,CINZA,6
5620,HONDA,FIT,2013,HATCHBACK,SIM,GASOLINA,13,110467,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
